Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0051085~chaperone mediated protein folding requiring cofactor	12	1.741654571843251	4.898659096399517E-11	HSP70.3, HSPA8, HSP70.1, ZGC:122979, HSPA5, DNAJB5, DNAJB1A, DNAJB1B, DNAJB13, HSC70, HSPE1, HSP70L	451	29	17990	16.505849071029896	4.683118137727149E-8	4.6782194370615386E-8	4.6292328460975434E-8
GOTERM_MF_DIRECT	GO:0051082~unfolded protein binding	18	2.6124818577648767	5.1344688198565804E-11	HSP70.3, HSPA8, NUDC, HSP70.1, HSPA5, DNAJB1A, DNAJB13, HSP90AA1.2, HSC70, HSPE1, HSP90B1, DNAJA1, ZGC:122979, DNAJB5, DNAJB1B, HSP70L, PFDN5, CALR3B	443	84	16808	8.130280554659787	2.7880175168526478E-8	2.7880165691821232E-8	2.690461661604848E-8
UP_SEQ_FEATURE	MOTIF:Antp-type hexapeptide	10	1.4513788098693758	1.5363507148616815E-9	HOXB3A, HOXC4A, HOXA3A, HOXC5A, HOXA4A, HOXB5A, HOXD3A, HOXB2A, HOXA1A, HOXC3A	559	24	24416	18.199165175909364	6.560215398687674E-7	6.56021755245938E-7	6.498763523864913E-7
UP_KW_LIGAND	KW-0408~Iron	32	4.644412191582003	5.246435331759741E-9	TPH2, HBAA1, CYP2AD6, RFESD, SI:CH211-5K11.8, HBBA2, P4HA1B, HBAA2, CMAH, NUBP2, P4HA1A, CYP2V1, AIFM4, PLOD1A, HIF1AN, EGLN1B, CYB5B, EGLN3, EGLN2, BA1L, LOC110438249, CYP4F3, BCO1L, CYP27A1.2, CYP26A1, TH, P4HA2, CYP1C2, TPH1A, COX5AB, CH25HL2, COX5AA	182	352	6577	3.2852147852147855	1.6263948110495363E-7	1.6263949528455198E-7	1.6263949528455198E-7
GOTERM_MF_DIRECT	GO:0005506~iron ion binding	21	3.0478955007256894	2.4945584285477202E-8	TPH2, HBAA1, EGLN3, EGLN2, CYP2AD6, CYP4F3, CYP27A1.2, SI:CH211-5K11.8, P4HA1B, HBAA2, P4HA1A, CYP26A1, CYP2V1, TH, P4HA2, PLOD1A, TPH1A, CYP1C2, SC5D, CH25HL2, EGLN1B	443	171	16808	4.659459031325492	1.3545360685540686E-5	6.77272613350706E-6	6.535743082795027E-6
INTERPRO	IPR018181:Heat shock protein 70, conserved site	8	1.1611030478955007	3.253617012763977E-8	HSP70.3, HSPA8, HSP70.1, HSPA5, HYOU1, HSPA4A, HSC70, HSP70L	475	14	17276	20.783157894736842	2.5280285020579107E-5	2.52806041891761E-5	2.489017014764442E-5
INTERPRO	IPR013126:Heat shock protein 70 family	8	1.1611030478955007	2.742178541822517E-7	HSP70.3, HSPA8, HSP70.1, HSPA5, HYOU1, HSPA4A, HSC70, HSP70L	475	18	17276	16.1646783625731	2.1304460470239484E-4	1.0653363634980479E-4	1.0488832922471128E-4
GOTERM_BP_DIRECT	GO:0006457~protein folding	15	2.1770682148040637	5.637178669308336E-7	NUDC, PPIL1, DNAJB1A, DNAJB13, HSP90AA1.2, HSPE1, PTGES3A, HSP90B1, DNAJA1, ZGC:122979, DNAJB5, DNAJB1B, HSPA4A, PFDN5, CALR3B	451	109	17990	5.489330539677373	5.387692443936665E-4	2.6917528145947305E-4	2.6635669212481887E-4
INTERPRO	IPR001827:Homeobox protein, antennapedia type, conserved site	8	1.1611030478955007	9.327731450240732E-7	HOXB3A, HOXC4A, HOXA3A, HOXC5A, HOXA4A, HOXB5A, HOXD3A, HOXB2A	475	21	17276	13.855438596491227	7.245024929652955E-4	2.4158824456123494E-4	2.3785715198113868E-4
UP_SEQ_FEATURE	DOMAIN:Fe2OG dioxygenase	8	1.1611030478955007	1.4144744260880397E-6	EGLN3, EGLN2, P4HA2, LOC110438249, PLOD1A, P4HA1B, EGLN1B, P4HA1A	559	26	24416	13.439383514517681	6.037986473080847E-4	3.0199028996979647E-4	2.991613411176204E-4
GOTERM_BP_DIRECT	GO:0071456~cellular response to hypoxia	7	1.0159651669085632	1.5336284458209674E-6	EGLN3, EGLN2, HIF1AL, CPEB1B, HYOU1, EGLN1B, HIF1AL2	451	16	17990	17.45149667405765	0.00146507564573084	4.882050552530079E-4	4.8309296043360473E-4
UP_KW_MOLECULAR_FUNCTION	KW-0560~Oxidoreductase	29	4.2089985486211905	2.801404406058437E-6	TPH2, CYP2AD6, P4HA1B, COX6A2, CMAH, P4HA1A, CYB5R2, PRDX3, HSD11B2, CYP2V1, PLOD1A, HIF1AN, EGLN1B, HEPHL1B, EGLN3, EGLN2, LOC110438249, CYP4F3, DIO2, CYP27A1.2, CYP26A1, IMPDH1B, TH, P4HA2, IMPDH2, GAPDHS, CYP1C2, TPH1A, CH25HL2	232	439	9466	2.6953302961275627	1.9047762326984685E-4	1.904954996119737E-4	1.820912863937984E-4
GOTERM_MF_DIRECT	GO:0016491~oxidoreductase activity	39	5.660377358490567	2.893102259410032E-6	TPH2, CYP2AD6, P4HA1B, COX6A2, CMAH, P4HA1A, CYB5R2, PRDX3, PRDX2, HSD11B2, CYP2V1, AIFM4, PLOD1A, SC5D, HIF1AN, EGLN1B, HEPHL1B, CYB5B, AOC1, EGLN3, EGLN2, MDH1AB, CYP4F3, ADOB, DIO2, CYP27A1.2, SRD5A2A, CYP26A1, ALDH3A2A, IMPDH1B, F8, TH, P4HA2, IMPDH2, GAPDHS, CYP1C2, TPH1A, COX4I1L, CH25HL2	443	643	16808	2.3012613700592244	0.0015697234926149717	5.236515089532158E-4	5.053285279769522E-4
INTERPRO	IPR020479:Homeodomain, metazoa	15	2.1770682148040637	3.5522117829991624E-6	HOXB3A, HOXC4A, HOXA3A, HOXC5A, HOXA4A, HOXB5A, BSX, GSX2, HOXC12B, HMX3B, NKX6.1, HOXD3A, HOXB2A, HOXA1A, HOXC3A	475	116	17276	4.703085299455536	0.002756267956831371	6.900171388475873E-4	6.793605034985898E-4
GOTERM_BP_DIRECT	GO:0018401~peptidyl-proline hydroxylation to 4-hydroxy-L-proline	6	0.8708272859216255	3.907448556685437E-6	EGLN3, EGLN2, P4HA2, P4HA1B, EGLN1B, P4HA1A	451	11	17990	21.75771013908486	0.003728559712848467	9.329033429086481E-4	9.231347215169346E-4
GOTERM_MF_DIRECT	GO:0000981~RNA polymerase II transcription factor activity, sequence-specific DNA binding	60	8.708272859216255	5.0946052336928705E-6	HOXB3A, HOXC5A, NKX2.9, ZNF973, SI:CH211-153J24.3, HES2.2, HIF1AL, HEY2, LBX1A, CREMA, HOXB2A, PHOX2BB, NPAS4A, FOXD3, KLF13, TCF15, LOC110439432, BSX, HER8A, OLIG1, EGR2B, HIC1, KLF17, PAX9, HMX3B, CLOCKA, NKX6.1, HOXD3A, HIF1AL2, HOXA1A, HOXA3A, HOXB5A, CEBPD, LOC100150619, HOXC12B, NPAS2, KLF2A, ZGC:173714, ZGC:173716, EGR2A, CSRNP1A, HOXC4A, FOXB2, EGR1, HLFB, LOC108191949, JUN, HOXA4A, GSX2, ZGC:174315, FOSL2, NR4A1, FOXF2B, MAFB, SP2, KLF9, FOSB, MXD3, FOXA2, HOXC3A	443	1231	16808	1.8492920839193667	0.0027625547919415405	6.915926604738071E-4	6.67393285613766E-4
GOTERM_BP_DIRECT	GO:0034620~cellular response to unfolded protein	6	0.8708272859216255	6.560831678774058E-6	HSP70.3, HSPA8, HSP70.1, HSPA5, HSC70, HSP70L	451	12	17990	19.944567627494457	0.006252546626923761	0.0012531188506458451	0.0012399971872882971
SMART	SM00702:P4Hc	7	1.0159651669085632	6.615013619791571E-6	EGLN3, EGLN2, P4HA2, PLOD1A, P4HA1B, EGLN1B, P4HA1A	252	19	9474	13.850877192982455	0.0011041009598588003	0.0011047072745051924	0.0011047072745051924
