Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_MF_DIRECT	GO:0051082~unfolded protein binding	9	3.9473684210526314	3.669928809080259E-7	DNAJA1, HSP70.3, HSP70.1, DNAJB5, DNAJB1A, DNAJB1B, HSP90AA1.2, HSP70L, PFDN5	136	84	16808	13.241596638655464	8.036822595780535E-5	8.037144091885767E-5	7.67015121097774E-5
GOTERM_BP_DIRECT	GO:0051085~chaperone mediated protein folding requiring cofactor	6	2.631578947368421	2.529187512480256E-6	HSP70.3, HSP70.1, DNAJB5, DNAJB1A, DNAJB1B, HSP70L	139	29	17990	26.777474572066488	0.0010768550179104386	0.0010749046928041088	0.0010622587552417077
GOTERM_CC_DIRECT	GO:0005833~hemoglobin complex	5	2.1929824561403506	9.84500721289751E-6	HBAA1, BA1L, SI:CH211-5K11.8, HBBA2, HBAA2	143	18	18265	35.47979797979798	8.758261952525048E-4	8.762056419478784E-4	8.762056419478784E-4
UP_SEQ_FEATURE	BINDING:distal binding residue	5	2.1929824561403506	1.6541877380582022E-5	HBAA1, BA1L, SI:CH211-5K11.8, HBBA2, HBAA2	184	21	24416	31.594202898550723	0.003236984415631139	0.001080735988864692	0.001080735988864692
UP_SEQ_FEATURE	DOMAIN:Globin family profile	5	2.1929824561403506	1.6541877380582022E-5	HBAA1, BA1L, SI:CH211-5K11.8, HBBA2, HBAA2	184	21	24416	31.594202898550723	0.003236984415631139	0.001080735988864692	0.001080735988864692
UP_SEQ_FEATURE	BINDING:proximal binding residue	5	2.1929824561403506	1.6541877380582022E-5	HBAA1, BA1L, SI:CH211-5K11.8, HBBA2, HBAA2	184	21	24416	31.594202898550723	0.003236984415631139	0.001080735988864692	0.001080735988864692
INTERPRO	IPR012292:Globin, structural domain	5	2.1929824561403506	2.6907336390924507E-5	HBAA1, BA1L, SI:CH211-5K11.8, HBBA2, HBAA2	148	21	17276	27.792792792792792	0.008199951186796284	0.0033323181003644966	0.0032669785297691142
GOTERM_MF_DIRECT	GO:0005344~oxygen transporter activity	5	2.1929824561403506	3.1305478619076195E-5	HBAA1, BA1L, SI:CH211-5K11.8, HBBA2, HBAA2	136	23	16808	26.867007672634273	0.006832558335500005	0.002285299939192562	0.0021809483437956415
GOTERM_MF_DIRECT	GO:0019825~oxygen binding	5	2.1929824561403506	3.1305478619076195E-5	HBAA1, BA1L, SI:CH211-5K11.8, HBBA2, HBAA2	136	23	16808	26.867007672634273	0.006832558335500005	0.002285299939192562	0.0021809483437956415
INTERPRO	IPR000971:Globin	5	2.1929824561403506	3.266978529769114E-5	HBAA1, BA1L, SI:CH211-5K11.8, HBBA2, HBAA2	148	22	17276	26.52948402948403	0.00994731253086878	0.0033323181003644966	0.0032669785297691142
INTERPRO	IPR009050:Globin-like	5	2.1929824561403506	3.266978529769114E-5	HBAA1, BA1L, SI:CH211-5K11.8, HBBA2, HBAA2	148	22	17276	26.52948402948403	0.00994731253086878	0.0033323181003644966	0.0032669785297691142
INTERPRO	IPR002939:Chaperone DnaJ, C-terminal	4	1.7543859649122806	1.2552432383058E-4	DNAJA1, DNAJB5, DNAJB1A, DNAJB1B	148	12	17276	38.90990990990991	0.037684436977892255	0.007682088618431497	0.0075314594298348005
INTERPRO	IPR008971:HSP40/DnaJ peptide-binding	4	1.7543859649122806	1.2552432383058E-4	DNAJA1, DNAJB5, DNAJB1A, DNAJB1B	148	12	17276	38.90990990990991	0.037684436977892255	0.007682088618431497	0.0075314594298348005
GOTERM_MF_DIRECT	GO:0031720~haptoglobin binding	4	1.7543859649122806	1.3663617129498358E-4	HBAA1, SI:CH211-5K11.8, HBBA2, HBAA2	136	13	16808	38.02714932126697	0.0294820355204386	0.007480830378400351	0.007139239950162892
GOTERM_BP_DIRECT	GO:0006457~protein folding	7	3.070175438596491	1.9364924844961903E-4	DNAJA1, DNAJB5, DNAJB1A, DNAJB1B, HSP90AA1.2, HSPA4A, PFDN5	139	109	17990	8.311662596528281	0.07919092713161524	0.041150465295544045	0.04066634217442
INTERPRO	IPR018181:Heat shock protein 70, conserved site	4	1.7543859649122806	2.0510591757348166E-4	HSP70.3, HSP70.1, HSPA4A, HSP70L	148	14	17276	33.351351351351354	0.06083946268347373	0.010460401796247564	0.010255295878674082
GOTERM_CC_DIRECT	GO:0031838~haptoglobin-hemoglobin complex	4	1.7543859649122806	2.3921047189683992E-4	HBAA1, SI:CH211-5K11.8, HBBA2, HBAA2	143	16	18265	31.93181818181818	0.021067198521747876	0.010644865999409376	0.010644865999409376
GOTERM_MF_DIRECT	GO:0043177~organic acid binding	4	1.7543859649122806	2.6285687247501384E-4	HBAA1, SI:CH211-5K11.8, HBBA2, HBAA2	136	16	16808	30.897058823529413	0.0559472377288045	0.011513131014405606	0.010987417269455579
GOTERM_BP_DIRECT	GO:0098869~cellular oxidant detoxification	4	1.7543859649122806	3.31223054944851E-4	HBAA1, SI:CH211-5K11.8, HBBA2, HBAA2	139	18	17990	28.760991207034376	0.13161871689717008	0.04155697815847246	0.04106807253307867
GOTERM_BP_DIRECT	GO:0015671~oxygen transport	4	1.7543859649122806	3.911245003150349E-4	HBAA1, SI:CH211-5K11.8, HBBA2, HBAA2	139	19	17990	27.247254827716777	0.15350554677293382	0.04155697815847246	0.04106807253307867
INTERPRO	IPR013126:Heat shock protein 70 family	4	1.7543859649122806	4.484588877328219E-4	HSP70.3, HSP70.1, HSPA4A, HSP70L	148	18	17276	25.93993993993994	0.1282557588266524	0.01960405994946336	0.019219666617120938
GOTERM_MF_DIRECT	GO:0005506~iron ion binding	8	3.508771929824561	4.636044178904754E-4	HBAA1, EGLN3, P4HA2, TPH1A, SI:CH211-5K11.8, CDO1, HBAA2, P4HA1A	136	171	16808	5.781905744754042	0.09656662215421652	0.016921561253002353	0.016148887223184895
GOTERM_BP_DIRECT	GO:0009408~response to heat	4	1.7543859649122806	6.989749128710902E-4	DNAJA1, HSP70.1, HSP90AA1.2, HSP70L	139	23	17990	22.508601814200816	0.25760024382902236	0.056267325033063205	0.05560535650326246
UP_KW_LIGAND	KW-0408~Iron	11	4.824561403508771	7.67409926314612E-4	HBAA1, EGLN3, BA1L, P4HA2, BCO1L, TPH1A, SI:CH211-5K11.8, CDO1, HBBA2, HBAA2, P4HA1A	58	352	6577	3.54364224137931	0.013723641945697751	0.013813378673663015	0.013813378673663015
GOTERM_BP_DIRECT	GO:0042744~hydrogen peroxide catabolic process	4	1.7543859649122806	7.943622357608923E-4	HBAA1, SI:CH211-5K11.8, HBBA2, HBAA2	139	24	17990	21.57074340527578	0.2871845935516413	0.056267325033063205	0.05560535650326246
GOTERM_MF_DIRECT	GO:0031072~heat shock protein binding	4	1.7543859649122806	7.97790960845961E-4	DNAJA1, HSP70.3, HSP70.1, HSP70L	136	23	16808	21.493606138107417	0.160363275084203	0.024959460060752208	0.02381975868811512
GOTERM_BP_DIRECT	GO:0042026~protein refolding	4	1.7543859649122806	0.0010090532283810033	DNAJA1, HSP70.3, HSP70.1, HSP70L	139	26	17990	19.911455451023798	0.349538843054763	0.06126394600884663	0.0605431937028602
INTERPRO	IPR002339:Haemoglobin, pi	3	1.3157894736842104	0.001054778333490213	HBAA1, SI:CH211-5K11.8, HBAA2	148	6	17276	58.36486486486487	0.27597728379279507	0.040345271256000646	0.039554187505882986
GOTERM_BP_DIRECT	GO:0030097~hemopoiesis	6	2.631578947368421	0.0012368006834828202	HBAA1, FLT3, IL7R, RUNX3, FGF1A, KLF17	139	104	17990	7.466795794133923	0.4097465045411115	0.06570503631002482	0.06493203588284806
INTERPRO	IPR018253:DnaJ domain, conserved site	4	1.7543859649122806	0.0020707439244530613	DNAJA1, DNAJB5, DNAJB1A, DNAJB1B	148	30	17276	15.563963963963964	0.4696958711441509	0.07040529343140409	0.06902479748176872
GOTERM_MF_DIRECT	GO:0031625~ubiquitin protein ligase binding	5	2.1929824561403506	0.0022980882256402628	HSP70.3, HSP70.1, CACYBP, FHIT, HSP70L	136	69	16808	8.955669224211425	0.39580633883014793	0.06291016517690219	0.060037554894851866
INTERPRO	IPR002338:Haemoglobin, alpha	3	1.3157894736842104	0.002489345617578207	HBAA1, SI:CH211-5K11.8, HBAA2	148	9	17276	38.909909909909906	0.5335896496306517	0.07617397589789314	0.0746803685273462
GOTERM_MF_DIRECT	GO:0004601~peroxidase activity	4	1.7543859649122806	0.002980707419175374	HBAA1, SI:CH211-5K11.8, HBBA2, HBAA2	136	36	16808	13.732026143790849	0.47990808732435086	0.07084149983201454	0.0676067281501874
GOTERM_BP_DIRECT	GO:0018401~peptidyl-proline hydroxylation to 4-hydroxy-L-proline	3	1.3157894736842104	0.003070578395384076	EGLN3, P4HA2, P4HA1A	139	11	17990	35.297580117724	0.7302011984321419	0.14499953533758136	0.14329365845125688
