Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0000278~mitotic cell cycle	11	1.6666666666666667	1.0836669588770861E-5	PLK4, WDHD1, CENPE, ASPM, CENPF, NCAPD2, TUBE1, TUBA4L, ESCO2, POLE, AURKA	347	92	17990	6.198784613456961	0.007901105986163559	0.0079216054693915	0.007878258791036416
GOTERM_BP_DIRECT	GO:0032922~circadian regulation of gene expression	8	1.2121212121212122	2.217348424558584E-5	PER3, CRY5, CRY2, BHLHE41, PER1B, PER1A, NR1D1, CIARTA	347	45	17990	9.216778738392572	0.016100154776145126	0.008104408491761625	0.008060061523270453
GOTERM_MF_DIRECT	GO:0003677~DNA binding	53	8.030303030303031	2.9491166285407938E-5	TOP2A, FOXE3, MPG, BHLHE41, CHD2, SIX9, CRY-DASH, SOX1A, POLE, UBTFL, WDHD1, HELLS, SI:CH211-113A14.29, TRIM33L, ZFX, WDR76, DDB2, ETV7, NR1D2B, CRY5, DMTF1, HMGB3A, MSH4, CRY2, PPARG, MCM6, DNA2, VOX, AIRE, UHRF1, NFE2L2B, TEFA, LOC100334869, HMGB2A, HSF2, RAD54L, HMGXB3, E2F7, ZGC:110425, TFAP2C, FANCM, XRCC5, DNMT3BB.3, SI:CH1073-159D7.5, ZGC:173587, NR1D1, DBPB, POU6F1, DBPA, NR1D4B, HER2, VSX2, NABP1B	322	1529	16808	1.809374860360159	0.011290050035906884	0.011354099019882056	0.011354099019882056
GOTERM_BP_DIRECT	GO:0048240~sperm capacitation	4	0.6060606060606061	6.853716610866563E-5	ABHD2A, ABHD2B, IGF3, AMH	347	5	17990	41.47550432276657	0.04893315039690116	0.01670022280847819	0.016608839920333303
UP_SEQ_FEATURE	DOMAIN:DUF6729	7	1.0606060606060608	1.604203719939651E-4	LOC103910847, LOC103910566, LOC101883131, LOC101885269, LOC110439485, LOC110439604, LOC101884955	534	38	24416	8.422629607727185	0.06230798820545436	0.06432856916958	0.06432856916958
GOTERM_BP_DIRECT	GO:0043153~entrainment of circadian clock by photoperiod	5	0.7575757575757576	2.0380793939729885E-4	PER3, CRY5, CRY2, PER1B, PER1A	347	16	17990	16.201368876080693	0.13860543553068305	0.034076774422316755	0.03389030780441079
GOTERM_BP_DIRECT	GO:0034501~protein localization to kinetochore	4	0.6060606060606061	2.3308327238246758E-4	MTBP, TTK, SPDL1, AURKB	347	7	17990	29.625360230547546	0.15687229392972035	0.034076774422316755	0.03389030780441079
GOTERM_BP_DIRECT	GO:0007049~cell cycle	15	2.272727272727273	7.480491546755185E-4	UHRF1, CDCA8, TTK, ESCO2, CCNA2, CDC20, ASPM, CHAF1A, DMTF1, POC5, SASS6, NCAPD2, SPDL1, MCM6, E2F7	347	269	17990	2.8909505801184876	0.4217661392668004	0.09113732201130066	0.09063862257485032
GOTERM_CC_DIRECT	GO:0098536~deuterosome	3	0.45454545454545453	0.001140739051383703	PLK4, CEP152, SASS6	360	3	18265	50.73611111111111	0.18850285049765003	0.1427359273738081	0.141175971883384
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	14	2.1212121212121215	0.0016958366870409292	UHRF1, PER1B, DNMT3BB.3, PER1A, NR1D1, LOC100535468, AURKB, NR1D4B, PER3, NR1D2B, PPARG, HER2, E2F7, VSX2	347	261	17990	2.780924619342586	0.7113112647444294	0.1770938026038456	0.17612475306839365
UP_KW_BIOLOGICAL_PROCESS	KW-0443~Lipid metabolism	14	2.1212121212121215	0.00176178976165642	ALOX5B.2, HACD1, ABHD2A, ABHD2B, BSCL2L, APOA1A, CYP7A1, CYP27C1, LOC103909985, SCD, SLC27A6, SI:DKEY-17E16.9, SI:CH211-260P9.3, ACSS2L	94	280	5022	2.671276595744681	0.09402832584155885	0.0717729005886914	0.07049124164960761
GOTERM_MF_DIRECT	GO:0001222~transcription corepressor binding	3	0.45454545454545453	0.002126900868477022	PER3, PER1B, PER1A	322	4	16808	39.14906832298137	0.5594489215673277	0.40942841718182676	0.40942841718182676
INTERPRO	IPR022728:Period circadian-like, C-terminal	3	0.45454545454545453	0.0021278603058086354	PER3, PER1B, PER1A	331	4	17276	39.145015105740185	0.7232018759567789	0.7584149763646473	0.7584149763646473
UP_SEQ_FEATURE	DOMAIN:Integrase catalytic	11	1.6666666666666667	0.002209408754421216	LOC110439303, LOC100535543, LOC110438689, LOC110438106, LOC108182237, LOC101882375, NEK6, LOC103910029, LOC103910221, LOC103909841, LOC110438198	534	155	24416	3.2448471668478915	0.5880911091043272	0.4429864552614538	0.4429864552614538
GOTERM_CC_DIRECT	GO:0032133~chromosome passenger complex	3	0.45454545454545453	0.002251794165915969	CDCA8, AURKB, AURKA	360	4	18265	38.05208333333333	0.33803526034519515	0.1427359273738081	0.141175971883384
GOTERM_CC_DIRECT	GO:0000776~kinetochore	7	1.0606060606060608	0.0023399332356361987	MTBP, CENPI, TTK, SPDL1, BUB1, AURKB, AURKA	360	69	18265	5.147141706924316	0.3486509164408448	0.1427359273738081	0.141175971883384
GOTERM_BP_DIRECT	GO:0007094~mitotic spindle assembly checkpoint	4	0.6060606060606061	0.0027024579507521915	TTK, SPDL1, BUB1, AURKB	347	15	17990	13.825168107588857	0.8620518026221284	0.22363545920965175	0.2224117357666441
GOTERM_BP_DIRECT	GO:0048511~rhythmic process	6	0.9090909090909091	0.0029088605305915556	PER3, PER1B, PPARG, PER1A, DTL, MTNR1BB	347	51	17990	6.099338870995084	0.881446248847111	0.22363545920965175	0.2224117357666441
UP_KW_BIOLOGICAL_PROCESS	KW-0227~DNA damage	10	1.5151515151515151	0.0029787590772465755	LOC101883768, LOC101886064, CHAF1A, MGMT, MPG, XRCC5, LOC110438490, DNA2, DTL, DDB2	94	163	5022	3.2776399947787493	0.15385069116105	0.0717729005886914	0.07049124164960761
UP_KW_MOLECULAR_FUNCTION	KW-0347~Helicase	9	1.3636363636363635	0.0030321700975469543	RECQL4, HELLS, LOC101886064, XRCC5, DDX23, RAD54L, LOC110438490, MCM6, DNA2	200	116	9466	3.6721551724137926	0.1716173877390309	0.18799454604791116	0.18799454604791116
GOTERM_BP_DIRECT	GO:0006281~DNA repair	12	1.8181818181818181	0.003059308607519176	RAD51AP1, WDHD1, CRY-DASH, CHAF1A, CRY5, FANCM, MGMT, MPG, XRCC5, DNA2, POLE, DDB2	347	215	17990	2.8936398364720866	0.8938440916913688	0.22363545920965175	0.2224117357666441
UP_SEQ_FEATURE	DOMAIN:Myosin motor	7	1.0606060606060608	0.0036694257762159644	SMYHC2, LOC100537963, MYHB, MYO7BB, MYO7AB, MYH11B, LOC100331349	534	68	24416	4.706763604318132	0.7710258189056668	0.4904799120875339	0.4904799120875339
GOTERM_CC_DIRECT	GO:0031616~spindle pole centrosome	3	0.45454545454545453	0.0037042396885780936	AURKB, DLGAP5, AURKA	360	5	18265	30.44166666666667	0.49294433040369146	0.1694689657524478	0.16761684590815873
INTERPRO	IPR009071:High mobility group (HMG) box domain	6	0.9090909090909091	0.004584826035967485	UBTFL, WDHD1, HMGB2A, HMGB3A, SOX1A, HMGXB3	331	57	17276	5.494037207823184	0.9374010802857483	0.7584149763646473	0.7584149763646473
