Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_DIRECT	GO:0007049~cell cycle	18	4.591836734693878	3.5036994665224927E-9	CDT1, UHRF1, SPICE1, TTK, ESCO2, MKI67, ASPM, POC5, CDC42L2, CDC14AA, SASS6, MCM4, MCM5, SPDL1, MCM6, E2F7, E2F8, MCM2	189	269	17990	6.369268897149937	1.7238186426071778E-6	1.7203164380625438E-6	1.706301640196454E-6
UP_KW_BIOLOGICAL_PROCESS	KW-0131~Cell cycle	18	4.591836734693878	4.094050633053991E-9	CDT1, UHRF1, SPICE1, TTK, ESCO2, MKI67, POC5, CDC42L2, INCENP, CDC14AA, SASS6, MCM4, MCM5, SPDL1, MCM6, E2F7, E2F8, MCM2	57	280	5022	5.66390977443609	1.432917628996222E-7	1.432917721568897E-7	1.432917721568897E-7
UP_KW_MOLECULAR_FUNCTION	KW-0238~DNA-binding	25	6.377551020408164	4.322968233539256E-5	TOP2A, CREB5B, UHRF1, LOC108190747, LOC110438490, NRL, RXRGA, NFE2L2B, SI:DKEY-108K21.21, HSF2, E2F1, SOX1A, E2F7, E2F8, ZGC:110425, SI:CH211-113A14.29, XRCC5, SI:CH73-368J24.8, STAT3, MSH4, MCM4, MCM5, MCM6, RORAB, MCM2	110	874	9466	2.4615144580819637	0.002159196412749975	0.0021614841167696282	0.0021614841167696282
GOTERM_BP_DIRECT	GO:0000278~mitotic cell cycle	8	2.0408163265306123	5.042634081961998E-5	ASPM, CDT1, CHAF1B, CENPF, MCM5, ESCO2, MYBL2B, AURKA	189	92	17990	8.276972624798711	0.024505137279702605	0.012379666671216705	0.012278813989577465
INTERPRO	IPR018525:Mini-chromosome maintenance, conserved site	4	1.0204081632653061	9.524244035176573E-5	MCM4, MCM5, MCM6, MCM2	185	9	17276	41.503903903903904	0.036556629557914166	0.026391410156468956	0.026391410156468956
GOTERM_BP_DIRECT	GO:0032922~circadian regulation of gene expression	6	1.530612244897959	1.0285664677858019E-4	PER3, BHLHE41, PER1B, PER1A, NR1D1, CIARTA	189	45	17990	12.691358024691358	0.049348816555489505	0.016834204522760958	0.016697062327056186
INTERPRO	IPR001208:Mini-chromosome maintenance, DNA-dependent ATPase	4	1.0204081632653061	1.349944253527824E-4	MCM4, MCM5, MCM6, MCM2	185	10	17276	37.35351351351352	0.051417376094742284	0.026391410156468956	0.026391410156468956
GOTERM_CC_DIRECT	GO:0042555~MCM complex	4	1.0204081632653061	1.510293991929007E-4	MCM4, MCM5, MCM6, MCM2	203	10	18265	35.99014778325123	0.01855476086163177	0.018727645499919687	0.018727645499919687
SMART	SM00350:MCM	4	1.0204081632653061	1.676346467724209E-4	MCM4, MCM5, MCM6, MCM2	110	10	9474	34.45090909090909	0.016625121515929542	0.01676346467724209	0.01676346467724209
KEGG_PATHWAY	dre04110:Cell cycle	10	2.5510204081632653	1.9364671708296195E-4	CDT1, CDC14AA, E2F1, MCM4, TTK, MCM5, MCM6, ESCO2, BUB1, MCM2	79	190	7204	4.799467021985343	0.014801604278185776	0.01491079721538807	0.01491079721538807
UP_SEQ_FEATURE	DOMAIN:MCM	4	1.0204081632653061	2.087658821932869E-4	MCM4, MCM5, MCM6, MCM2	302	10	24416	32.33907284768212	0.05599649394599904	0.05761938348534718	0.05761938348534718
GOTERM_MF_DIRECT	GO:0003677~DNA binding	33	8.418367346938775	2.1468251622567977E-4	TOP2A, CREB5B, FOXE3, UHRF1, LOC108190747, BHLHE41, NRL, RXRGA, NFE2L2B, SI:DKEY-108K21.21, HSF2, E2F1, SOX1A, E2F7, E2F8, ZGC:110425, CDT1, SI:CH211-113A14.29, XRCC5, SI:CH73-368J24.8, STAT3, NR1D1, WDR76, DBPA, NR1D2B, MSH4, MCM4, MCM5, MCM6, HER2, ATF3, RORAB, MCM2	183	1529	16808	1.9823092345795494	0.051039550837503556	0.05238253395906586	0.05173848641038883
GOTERM_BP_DIRECT	GO:0000727~double-strand break repair via break-induced replication	4	1.0204081632653061	2.973711485128875E-4	MCM4, MCM5, MCM6, MCM2	189	13	17990	29.287749287749286	0.1361260077035018	0.03650230847995694	0.03620493733144405
INTERPRO	IPR022728:Period circadian-like, C-terminal	3	0.7653061224489796	6.674810807329964E-4	PER3, PER1B, PER1A	185	4	17276	70.03783783783784	0.22977472551300193	0.0869950341888672	0.0869950341888672
GOTERM_MF_DIRECT	GO:0001222~transcription corepressor binding	3	0.7653061224489796	6.897209261262032E-4	PER3, PER1B, PER1A	183	4	16808	68.88524590163935	0.15494196194897192	0.07200661011043187	0.07112128293694295
GOTERM_MF_DIRECT	GO:0000978~RNA polymerase II core promoter proximal region sequence-specific DNA binding	24	6.122448979591836	0.0011718235858280835	CREB5B, FOXE3, STAT3, BHLHE41, LOC108190743, NRL, RXRGA, NFE2L2B, NR1D1, MYBL2B, DBPA, NR1D2B, HSF2, KLF11B, ZNF395B, ZBTB2A, E2F1, SOX1A, CIARTA, HER2, RORAB, E2F7, ATF3, E2F8	183	1063	16808	2.0736856715451166	0.24880695731675995	0.07200661011043187	0.07112128293694295
GOTERM_MF_DIRECT	GO:0003678~DNA helicase activity	5	1.2755102040816326	0.0011804362313185552	XRCC5, MCM4, MCM5, MCM6, MCM2	183	43	16808	10.67988308552548	0.25038577598528866	0.07200661011043187	0.07112128293694295
GOTERM_BP_DIRECT	GO:0006270~DNA replication initiation	4	1.0204081632653061	0.0013003337475493329	MCM4, MCM5, MCM6, MCM2	189	21	17990	18.130511463844798	0.4728027532581037	0.12769277400934448	0.12665250701130504
GOTERM_BP_DIRECT	GO:0000122~negative regulation of transcription from RNA polymerase II promoter	10	2.5510204081632653	0.0017346441902820983	PER3, NR1D2B, UHRF1, ZBTB2A, PER1B, PER1A, NR1D1, HER2, E2F7, E2F8	189	261	17990	3.646941961118206	0.5743704918893708	0.14195171623808503	0.140795286777897
UP_KW_MOLECULAR_FUNCTION	KW-0347~Helicase	7	1.7857142857142856	0.002161781636690616	LOC101886064, XRCC5, MCM4, LOC110438490, MCM5, MCM6, MCM2	110	116	9466	5.192946708463949	0.10255737028117473	0.0540445409172654	0.0540445409172654
GOTERM_MF_DIRECT	GO:0003700~transcription factor activity, sequence-specific DNA binding	16	4.081632653061225	0.002238876782848861	CREB5B, FOXE3, STAT3, NRL, RXRGA, NFE2L2B, NR1D1, DBPA, NR1D2B, HSF2, ZNF395B, SOX1A, RORAB, E2F7, ATF3, E2F8	183	599	16808	2.4533420910990085	0.42125793413502244	0.10925718700302442	0.10791386093331512
GOTERM_BP_DIRECT	GO:0032508~DNA duplex unwinding	4	1.0204081632653061	0.0024463821510028487	MCM4, MCM5, MCM6, MCM2	189	26	17990	14.643874643874643	0.7003363743141444	0.17159623373462837	0.17019830107691247
GOTERM_BP_DIRECT	GO:0006268~DNA unwinding involved in DNA replication	3	0.7653061224489796	0.0046260507563988355	MCM4, MCM6, MCM2	189	10	17990	28.555555555555554	0.8978484464744023	0.28392386517397855	0.2816108397957791
GOTERM_BP_DIRECT	GO:0006954~inflammatory response	7	1.7857142857142856	0.006570926663638433	UHRF1, IL1B, C5AR1, ADAM8B, ADAM8A, AGTR1B, SI:CH211-171H4.6	189	159	17990	4.190542744001863	0.960975445914283	0.3052008029922064	0.3027144420716997
GOTERM_BP_DIRECT	GO:0045892~negative regulation of transcription, DNA-templated	7	1.7857142857142856	0.006570926663638433	BHLHE41, SI:CH211-132B12.7, CIPCA, CIARTA, HER2, E2F7, E2F8	189	159	17990	4.190542744001863	0.960975445914283	0.3052008029922064	0.3027144420716997
GOTERM_BP_DIRECT	GO:0019221~cytokine-mediated signaling pathway	5	1.2755102040816326	0.006837492531393627	CRLF1A, IL10RA, IL1B, STAT3, LIFRB	189	72	17990	6.610082304526749	0.9658024009670948	0.3052008029922064	0.3027144420716997
GOTERM_MF_DIRECT	GO:0017116~single-stranded DNA-dependent ATP-dependent DNA helicase activity	3	0.7653061224489796	0.007166169938245786	MCM4, MCM5, MCM2	183	12	16808	22.961748633879782	0.827065219224622	0.2914242441553286	0.28784115918620573
KEGG_PATHWAY	dre03030:DNA replication	4	1.0204081632653061	0.00784624891879756	MCM4, MCM5, MCM6, MCM2	79	38	7204	9.598934043970687	0.4547679732344153	0.3020805833737061	0.3020805833737061
INTERPRO	IPR004827:Basic-leucine zipper domain	5	1.2755102040816326	0.009213428115752239	DBPA, CREB5B, NRL, NFE2L2B, ATF3	185	77	17276	6.063882063882064	0.9731945082329484	0.8456876424023861	0.8456876424023861
SMART	SM00338:BRLZ	5	1.2755102040816326	0.010294865935747603	DBPA, CREB5B, NRL, NFE2L2B, ATF3	110	74	9474	5.81941031941032	0.6447105464954581	0.41633517667286446	0.41633517667286446
GOTERM_BP_DIRECT	GO:0070365~hepatocyte differentiation	3	0.7653061224489796	0.010430179698865456	STAT3, E2F7, E2F8	189	15	17990	19.037037037037038	0.9942502446661036	0.3939398640109953	0.3907305779498059
GOTERM_BP_DIRECT	GO:0007094~mitotic spindle assembly checkpoint	3	0.7653061224489796	0.010430179698865456	TTK, SPDL1, BUB1	189	15	17990	19.037037037037038	0.9942502446661036	0.3939398640109953	0.3907305779498059
INTERPRO	IPR006586:ADAM, cysteine-rich	3	0.7653061224489796	0.010814419979570155	ADAMTS12, ADAM8B, ADAM8A	185	15	17276	18.676756756756756	0.9857566971047698	0.8456876424023861	0.8456876424023861
