"","...1","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ensembl_id","rank","Y"
"1","CYTB",37658.1254686947,0.256530934832057,0.087762352217286,2.92301799519829,0.00346656481156878,0.0397815892327068,"ENSDARG00000063344",6.6645911432128,"553406"
"2","ND6",17351.4364061323,-0.015748612847451,0.109501674083118,-0.143820749585041,0.885642017418523,0.961308228323457,"ENSDARG00000069301",-0.878557546429672,"393585"
"3","ND5",35930.4675919034,0.0800559047286378,0.0739876522281979,1.08201709768711,0.279244930739903,0.589142221844076,"ENSDARG00000025206",2.27566599432238,"566435"
"4","ND4",49682.0357337115,0.179378393047731,0.102681820328146,1.74693429152776,0.0806487366971058,0.301861426760785,"ENSDARG00000045415",3.51765213854965,"554265"
"5","ND4L",11788.5209898368,0.380994122981355,0.106900895353892,3.56399375066118,0.000365254653691784,0.00768921851905001,"ENSDARG00000087916",8.91491576630092,"368405"
"6","ND3",3682.96404105277,0.705211101420903,0.0745856896859036,9.4550456580974,3.22881026353324e-21,4.5541126917035e-18,"ENSDARG00000067711",48.1821732229574,"100001221"
"7","COX3",48961.9902668682,0.230514438886394,0.0613053908286262,3.76010063341374,0.000169845019467115,0.00434348434720923,"ENSDARG00000068468",9.68062418691322,"100000741"
"8","ATP6",86622.4530194814,0.155017609666722,0.103222779464974,1.50177713165846,0.13315467615865,0.402161775991601,"ENSDARG00000098726",3.01624384785971,"447804"
"9","ATP8",1137.57691228706,0.38737057508144,0.156138300672731,2.48094524797843,0.0131034498736598,0.0985499823147769,"ENSDARG00000097726",5.33487973431099,"100037387"
"10","COX2",104245.304347679,0.109217233716027,0.091310845061726,1.19610363524942,0.231656119200121,0.536523885395266,"ENSDARG00000011821",2.46250125175449,"436721"
"11","COX1",292013.691515413,0.187121208314717,0.095667674142322,1.95595022030474,0.0504710184824003,0.230552215967437,"ENSDARG00000044251",3.98635599887716,"494152"
"12","ND2",30503.4149475252,0.386564524642321,0.0686289121530175,5.63267743164022,1.77433142560577e-08,2.24373386344189e-06,"ENSDARG00000090063",18.8472570536103,"799882"
"13","ND1",30606.4539309393,0.117364738522609,0.0859156621691871,1.36604590547753,0.17192455538812,0.46379809784296,"ENSDARG00000052097",2.76069952986003,"559066"
"14","LOC108179569",85.0993471284224,-1.06394525077396,0.258350302555542,-4.11822722965547,3.81798135130038e-05,0.00131416058772942,"ENSDARG00000041340",9.17320362409443,"100033386"
"15","gria1a",162.452345904372,0.0732247339854212,0.243051854441487,0.3012720645711,0.76320704114697,0.914160247686202,"ENSDARG00000045641",1.27022593306912,"767760"
"16","dlg1",3001.37032915603,-0.216203323548095,0.08532528596622,-2.53387165480686,0.0112810041610005,0.0891713344689071,"ENSDARG00000078768",3.4846350155091,"324413"
"17","pex5la",40.4238464213986,0.407716932633888,0.299831871243026,1.35981852410685,0.173887358951557,0.466344685349679,"ENSDARG00000056683",2.74934755174446,"553318"
"18","cdh4",1063.24652183361,0.0434908169378635,0.0795665348161953,0.546596845499563,0.584655736760509,0.82311483332622,"ENSDARG00000002355",1.53673208914512,"323439"
"19","rbb4l",200.269062159828,-0.153128952306927,0.151618688367985,-1.00996093525936,0.31251400641474,0.623434656895719,"ENSDARG00000069537",0.163105990282923,"570245"
"20","LOC110439279",28.5387760640585,-1.15811181050628,0.361878102523205,-3.20028153798563,0.00137293405759707,0.0201231965468424,"ENSDARG00000087798",5.59080518131977,"569045"
"21","dgkh",6597.16373117197,-0.260380785877423,0.118662840519401,-2.19429085582062,0.0282145064149871,0.159736864433716,"ENSDARG00000045443",2.56791902142353,"571965"
"22","vwa8",95.270318703675,-0.0401026165639431,0.238301722573512,-0.168285046918082,0.866359036931795,0.955867220143971,"ENSDARG00000019293",-0.856544135960651,"399645"
"23","slain1a",27.0628560104489,0.635659137789892,0.369665280351892,1.71955325959959,0.0855136785577362,0.311787395115262,"ENSDARG00000044753",3.45907893270394,"554268"
"24","mycbp2",2294.53011137774,-0.074755839784329,0.0599243873019915,-1.24750278058904,0.212213201322367,0.514021302436845,"ENSDARG00000086471",0.550163843039082,"553418"
"25","itpr1a",23.88663303807,-0.0408014474831729,0.374657008758726,-0.108903467783378,0.913279056113512,0.970412050466248,"ENSDARG00000056740",-0.909286202353036,"559610"
"26","sumf1",16.3510385649052,0.71105940001283,0.462384186479145,1.53781080929095,0.124094879873026,0.387465548776796,"ENSDARG00000073688",3.08670884569664,"100150889"
"27","myl6",271.226812083921,0.240595904405505,0.14454226071001,1.664536746718,0.0960052139397128,0.333652691963338,"ENSDARG00000003206",3.34335277711713,"558170"
"28","smarcc2",516.646409551728,0.043717629760266,0.108765970438021,0.401942166140816,0.687726589587286,0.879530245723302,"ENSDARG00000076025",1.37436391888833,"100006516"
"29","c1ql4b",35.9891809488707,0.362039663587721,0.300113973516402,1.2063405757011,0.227686198582266,0.533050834678808,"ENSDARG00000037555",2.47978692003637,"406428"
"30","espl1",18.7381985457345,1.32695280133924,0.461713508314135,2.87397439634021,0.00405341821642259,0.0448813263383602,"ENSDARG00000055560",6.50819474977987,"790939"
