id,name,source_csv,gene name,log2FoldChange,source_xlxs
ZDB-GENE-990415-8,pax2a,brain_development ,pax2a,-0.215127176232685,1dpl
ZDB-GENE-980526-166,shha,brain_development ,shha,0.359968928724438,1dpl
ZDB-GENE-990415-72,fgf8a,brain_development ,fgf8a,0.167115045641243,1dpl
ZDB-GENE-031112-7,apc,brain_development ,apc,-0.0839694000925953,1dpl
ZDB-GENE-980526-283,egr2b,brain_development ,egr2b,-0.542088614800816,1dpl
ZDB-GENE-990415-53,emx3,brain_development ,emx3,-0.894672651578121,1dpl
ZDB-GENE-030321-1,gli1,brain_development ,gli1,-0.435060437276113,1dpl
ZDB-GENE-990415-173,notch1a,brain_development ,notch1a,-0.114285431143381,1dpl
ZDB-GENE-990415-200,pax6a,brain_development ,pax6a,0.0692384357700239,1dpl
ZDB-GENE-980526-397,prox1a,brain_development ,prox1a,-0.00602349214521291,1dpl
ZDB-GENE-030909-1,sox2,brain_development ,sox2,0.00102700365014524,1dpl
ZDB-GENE-011207-1,sox10,brain_development ,sox10,-0.347880899789187,1dpl
ZDB-GENE-980526-526,wnt1,brain_development ,wnt1,0.505891172829648,1dpl
ZDB-GENE-980526-87,wnt5b,brain_development ,wnt5b,-0.0802210270536144,1dpl
ZDB-GENE-990415-9,acvr1l,brain_development ,acvr1l,-0.0866302451175304,1dpl
ZDB-GENE-980526-90,ascl1a,brain_development ,ascl1a,0.032541012408631,1dpl
ZDB-GENE-001212-1,atp1a1a.1,brain_development ,atp1a1a.1,-0.294510616819407,1dpl
ZDB-GENE-990415-171,cdh2,brain_development ,cdh2,0.145729690934414,1dpl
ZDB-GENE-030318-1,cxcl12a,brain_development ,cxcl12a,-0.293795707569659,1dpl
ZDB-GENE-020102-1,cxcr4a,brain_development ,cxcr4a,-1.40618440736021,1dpl
ZDB-GENE-010614-1,cxcr4b,brain_development ,cxcr4b,-0.971723634226016,1dpl
ZDB-GENE-990415-44,cyp26a1,brain_development ,cyp26a1,-0.297973882538715,1dpl
ZDB-GENE-030911-7,disp1,brain_development ,disp1,0.103314997940784,1dpl
ZDB-GENE-980526-29,dla,brain_development ,dla,-0.0679107921423579,1dpl
ZDB-GENE-990415-67,efnb2a,brain_development ,efnb2a,-0.186312893598187,1dpl
